S,l,e,vrf,T,Sc,L
0.000151,0.55,0.002,0.000984,12.4,1.97e-07,0.031
0.000153,0.523,0.00199,0.000815,18.1,1.89e-07,0.0319
0.000148,0.533,0.002,0.000904,24.5,2.01e-07,0.0301
0.000149,0.584,0.002,0.000975,27.4,1.76e-07,0.0294
0.000155,0.579,0.00199,0.00122,17.7,1.99e-07,0.0285
0.000152,0.578,0.00201,0.00119,16.8,2.03e-07,0.0291
0.000148,0.554,0.002,0.000699,16.2,1.83e-07,0.0314
0.000147,0.56,0.00201,0.00103,20.8,1.89e-07,0.0284
0.000145,0.549,0.00198,0.00101,19.7,1.77e-07,0.0286
0.000145,0.579,0.00201,0.00112,22.3,2.4e-07,0.0267
0.000151,0.562,0.002,0.000935,17.6,1.97e-07,0.0291
0.000148,0.54,0.00197,0.00121,16.9,2.25e-07,0.0278
0.000149,0.525,0.00201,0.00118,16.9,2.06e-07,0.0283
0.000146,0.482,0.00202,0.00102,17.8,1.99e-07,0.0286
0.000154,0.503,0.00201,0.00112,28.7,1.66e-07,0.0304
0.000148,0.501,0.002,0.000854,23.6,1.92e-07,0.0309
0.000151,0.542,0.00199,0.000787,27.1,2.15e-07,0.0317
0.000153,0.567,0.00199,0.00104,23.5,2.02e-07,0.0302
0.000147,0.59,0.00201,0.00116,25.2,1.82e-07,0.0277
0.000152,0.593,0.00201,0.00109,13.8,1.93e-07,0.0286
0.000147,0.581,0.00201,0.000811,18.9,2.14e-07,0.0304
0.00015,0.588,0.002,0.00109,16.6,2.3e-07,0.0278
0.000157,0.633,0.00203,0.0013,26.4,2.13e-07,0.027
0.000149,0.594,0.002,0.000921,12.7,1.66e-07,0.0287
0.000152,0.59,0.00202,0.000841,15.2,1.95e-07,0.0305
0.000149,0.571,0.00199,0.00101,8.81,2.18e-07,0.029
0.000149,0.589,0.00199,0.000832,20.6,2.12e-07,0.0299
0.000148,0.527,0.00198,0.000904,21.1,1.85e-07,0.03
0.000151,0.499,0.00201,0.00108,15.5,2.26e-07,0.0296
0.000157,0.539,0.002,0.00109,19.5,1.98e-07,0.0299
0.000152,0.527,0.002,0.000954,17.6,1.9e-07,0.0302
0.000148,0.524,0.00199,0.000947,19.9,2.07e-07,0.0303
0.00015,0.581,0.002,0.000975,18.9,2.32e-07,0.0292
0.000154,0.554,0.00199,0.000986,20.5,1.79e-07,0.031
0.000152,0.583,0.002,0.00101,14.7,1.85e-07,0.0292
0.000153,0.53,0.00202,0.00101,16.2,1.69e-07,0.0301
0.000151,0.571,0.00199,0.000708,19.5,2.12e-07,0.0322
0.000143,0.629,0.00199,0.00106,22.3,2e-07,0.0273
0.000152,0.531,0.002,0.00131,25.1,1.8e-07,0.0285
0.000145,0.578,0.00201,0.00108,18.7,2.17e-07,0.0273
0.000155,0.551,0.00201,0.000909,25.9,1.97e-07,0.0308
0.00016,0.576,0.002,0.000942,16.5,1.99e-07,0.0318
0.000146,0.597,0.00201,0.00109,20.6,2.38e-07,0.0282
0.00015,0.553,0.00201,0.00141,22.4,1.86e-07,0.0267
0.000149,0.557,0.002,0.000992,23.3,2.06e-07,0.0299
0.000143,0.553,0.002,0.00116,19.6,1.76e-07,0.0271
0.000147,0.582,0.002,0.00123,20.8,2.13e-07,0.0276
0.00015,0.537,0.002,0.00139,13.1,2.48e-07,0.0279
0.000149,0.549,0.00199,0.000956,20.5,1.65e-07,0.0296
